station,variable,T,obs_count,is_sparse,Q,R,best_val_loss,stopped_epoch,ci_integral,ci_mean_width,ci_max_width
Arcadia,discharge,9131,9131,False,0.0022861347540601862,0.2000219058050383,0.007037023082375526,74,553451.3823924619,60.61560682385252,118.66182426654689
Arcadia,TN,9131,41,True,0.006714353628006293,0.205,0.03632919117808342,21,10939.34352120023,1.1981172294232312,1.6193727421445951
Arcadia,TP,9131,41,True,0.0037932191654948114,0.20500000000000004,0.010103443637490273,26,10150.827620409675,1.1117567388626795,2.4524283588067113
FtOgden_RM1482,TN,9131,18,True,0.00022880737717882084,0.2117647058823529,0.01994168572127819,46,2774.112494488909,0.3038343496112867,0.4560713968458352
FtOgden_RM1482,TP,9131,18,True,0.00882443286891215,0.21176470588235297,0.038649026304483414,108,3179.432178235258,0.3482239508106446,2.2383344490492068
