SimDate,Flow,TN,TP
4/17/1999 12:00,6.4791,1.63988,0.83909
4/18/1999 12:00,3.77979,1.65263,0.84808
4/19/1999 12:00,1.60223,1.68776,0.87093
4/20/1999 12:00,1.93312,1.72323,0.89845
4/21/1999 12:00,1.87789,1.74847,0.91758
4/22/1999 12:00,2.02251,1.76458,0.92921
4/23/1999 12:00,3.17471,1.76494,0.93018
4/24/1999 12:00,2.99509,1.75573,0.92148
4/25/1999 12:00,1.95752,1.76493,0.92521
4/26/1999 12:00,1.90054,1.78122,0.93688
4/27/1999 12:00,1.48849,1.7777,0.93322
4/28/1999 12:00,3.02781,1.7766,0.93683
4/29/1999 12:00,5.0989,1.78135,0.95218
4/30/1999 12:00,7.36377,1.83,0.98159
5/1/1999 12:00,10.69635,1.90239,0.97724
5/2/1999 12:00,9.42808,1.98136,0.98456
5/3/1999 12:00,10.02722,1.97492,0.98028
5/4/1999 12:00,9.28573,1.91648,0.96552
5/5/1999 12:00,7.55783,1.8587,0.96014
5/6/1999 12:00,6.52074,1.80685,0.95856
5/7/1999 12:00,6.30442,1.75675,0.95216
5/8/1999 12:00,7.61228,1.69818,0.91609
5/9/1999 12:00,7.64108,1.70185,0.88837
5/10/1999 12:00,8.01843,1.82244,0.86977
5/11/1999 12:00,7.41169,1.8985,0.81648
5/12/1999 12:00,7.45624,1.86441,0.78611
5/13/1999 12:00,6.37336,1.80355,0.80042
5/14/1999 12:00,4.91134,1.75536,0.8279
5/15/1999 12:00,7.39435,1.68578,0.83055
5/16/1999 12:00,7.91068,1.62212,0.82192
5/17/1999 12:00,5.20422,1.61845,0.84549
5/18/1999 12:00,3.85714,1.64807,0.88119
5/19/1999 12:00,4.52133,1.66657,0.90489
5/20/1999 12:00,5.08888,1.66701,0.91839
5/21/1999 12:00,7.06658,1.64608,0.90918
5/22/1999 12:00,7.84673,1.67805,0.89491
5/23/1999 12:00,6.9491,1.75164,0.86344
5/24/1999 12:00,5.92808,1.75867,0.81312
5/25/1999 12:00,5.65478,1.72155,0.77559
5/26/1999 12:00,6.36889,1.68021,0.75441
5/27/1999 12:00,5.18161,1.66729,0.76937
5/28/1999 12:00,6.33524,1.67651,0.81023
5/29/1999 12:00,9.04995,1.69225,0.8839
5/30/1999 12:00,15.2141,1.74666,0.939
5/31/1999 12:00,18.68825,1.75244,0.89503
6/1/1999 12:00,18.32338,1.73096,0.84882
6/2/1999 12:00,15.221,1.67941,0.80639
6/3/1999 12:00,13.82777,1.6327,0.77034
6/4/1999 12:00,11.46579,1.59705,0.74803
6/5/1999 12:00,8.31486,1.56996,0.7457
6/6/1999 12:00,9.14148,1.57311,0.74135
6/7/1999 12:00,8.26642,1.62972,0.73973
6/8/1999 12:00,6.80755,1.65211,0.74102
6/9/1999 12:00,4.62118,1.61231,0.73601
6/10/1999 12:00,4.83022,1.57425,0.73703
6/11/1999 12:00,7.13557,1.54842,0.7442
6/12/1999 12:00,5.76972,1.54564,0.76585
6/13/1999 12:00,8.35438,1.62017,0.8094
6/14/1999 12:00,12.46945,1.87999,0.87951
6/15/1999 12:00,14.68725,2.19028,0.93908
6/16/1999 12:00,17.90377,2.2252,0.91867
6/17/1999 12:00,31.94761,2.15244,1.09409
6/18/1999 12:00,55.48638,2.002,1.27201
6/19/1999 12:00,88.71069,1.93266,1.21572
6/20/1999 12:00,102.44101,1.84944,1.12564
6/21/1999 12:00,101.26976,1.75069,1.05765
6/22/1999 12:00,96.06952,1.6756,1.0238
6/23/1999 12:00,88.34948,1.6329,1.00971
6/24/1999 12:00,85.89188,1.59142,1.01072
6/25/1999 12:00,86.78159,1.54166,1.04571
6/26/1999 12:00,84.84488,1.49677,1.03456
6/27/1999 12:00,84.21735,1.45546,0.99487
6/28/1999 12:00,88.2175,1.40193,0.9914
6/29/1999 12:00,90.58215,1.38187,1.0151
6/30/1999 12:00,90.67085,1.44459,1.00252
7/1/1999 12:00,98.26635,1.67822,1.02298
7/2/1999 12:00,116.01968,1.89625,1.09147
7/3/1999 12:00,125.17117,1.86568,1.08342
7/4/1999 12:00,122.15844,1.73675,1.03524
7/5/1999 12:00,112.09762,1.64616,0.98499
7/6/1999 12:00,98.99799,1.59892,0.94233
7/7/1999 12:00,86.45428,1.57606,0.9091
7/8/1999 12:00,76.54869,1.55971,0.88333
7/9/1999 12:00,68.77164,1.54436,0.86626
7/10/1999 12:00,61.6652,1.53088,0.85968
7/11/1999 12:00,55.66708,1.52273,0.85627
7/12/1999 12:00,50.02079,1.50863,0.84752
7/13/1999 12:00,46.30998,1.50636,0.83379
7/14/1999 12:00,42.61053,1.51451,0.80935
7/15/1999 12:00,38.79449,1.52095,0.77556
7/16/1999 12:00,35.66482,1.5214,0.7416
7/17/1999 12:00,32.96205,1.52371,0.71663
7/18/1999 12:00,31.56303,1.52962,0.70133
7/19/1999 12:00,32.11438,1.55298,0.72097
7/20/1999 12:00,34.09337,1.5993,0.78759
7/21/1999 12:00,34.80829,1.60222,0.80926
7/22/1999 12:00,32.92537,1.58064,0.78181
7/23/1999 12:00,29.70299,1.568,0.74886
7/24/1999 12:00,30.8388,1.55385,0.70528
7/25/1999 12:00,27.58618,1.56858,0.70904
7/26/1999 12:00,27.18707,1.59974,0.72626
7/27/1999 12:00,23.44728,1.60909,0.7255
7/28/1999 12:00,21.32165,1.6292,0.74357
7/29/1999 12:00,19.9672,1.63674,0.75639
7/30/1999 12:00,19.48669,1.63162,0.76002
7/31/1999 12:00,19.11997,1.62261,0.7572
8/1/1999 12:00,19.3503,1.60754,0.74578
8/2/1999 12:00,18.33301,1.60559,0.74098
8/3/1999 12:00,17.84339,1.60607,0.73735
8/4/1999 12:00,16.1107,1.61993,0.74276
8/5/1999 12:00,14.37897,1.63019,0.74529
8/6/1999 12:00,13.41955,1.63305,0.74541
8/7/1999 12:00,19.32549,1.59466,0.72905
8/8/1999 12:00,19.13439,1.58346,0.74033
8/9/1999 12:00,18.28192,1.55844,0.76153
8/10/1999 12:00,18.9186,1.51051,0.77016
8/11/1999 12:00,19.84124,1.47598,0.77014
8/12/1999 12:00,19.99405,1.46469,0.76266
8/13/1999 12:00,19.42363,1.46736,0.75272
8/14/1999 12:00,16.61309,1.48978,0.75686
8/15/1999 12:00,15.82861,1.50799,0.75965
8/16/1999 12:00,17.07879,1.50797,0.74819
8/17/1999 12:00,19.0345,1.53093,0.75355
8/18/1999 12:00,19.05283,1.63575,0.84701
8/19/1999 12:00,21.90234,1.60942,0.86422
8/20/1999 12:00,22.94211,1.57673,0.82179
8/21/1999 12:00,25.11344,1.58236,0.80855
8/22/1999 12:00,28.27286,1.57346,0.8445
8/23/1999 12:00,32.76593,1.56859,0.90435
8/24/1999 12:00,35.30468,1.56356,0.96807
8/25/1999 12:00,37.09575,1.54663,0.98817
8/26/1999 12:00,34.22334,1.48722,0.93579
8/27/1999 12:00,36.31224,1.47581,0.89374
8/28/1999 12:00,35.33201,1.47126,0.87407
8/29/1999 12:00,32.4037,1.47732,0.88246
8/30/1999 12:00,30.53406,1.47952,0.88913
8/31/1999 12:00,29.48843,1.48791,0.87757
9/1/1999 12:00,31.39743,1.49673,0.82893
9/2/1999 12:00,28.567,1.51735,0.81882
9/3/1999 12:00,27.00087,1.5359,0.86476
9/4/1999 12:00,25.98722,1.56441,0.94259
9/5/1999 12:00,28.82448,1.56251,0.97848
9/6/1999 12:00,31.4318,1.54868,0.97835
9/7/1999 12:00,32.69566,1.52874,0.95001
9/8/1999 12:00,29.74623,1.52842,0.9228
9/9/1999 12:00,27.52497,1.5299,0.89246
9/10/1999 12:00,25.5799,1.54035,0.86574
9/11/1999 12:00,25.65513,1.56487,0.84707
9/12/1999 12:00,22.51632,1.56789,0.80473
9/13/1999 12:00,19.89976,1.58044,0.78069
9/14/1999 12:00,17.25025,1.61518,0.78021
9/15/1999 12:00,10.03018,1.6889,0.81154
9/16/1999 12:00,12.38878,1.68979,0.81253
9/17/1999 12:00,13.56004,1.65458,0.80027
9/18/1999 12:00,10.73479,1.64934,0.81338
9/19/1999 12:00,10.64865,1.61445,0.80767
9/20/1999 12:00,16.82963,1.56034,0.78185
9/21/1999 12:00,23.3203,1.57475,0.85219
9/22/1999 12:00,32.38614,1.54842,0.99187
9/23/1999 12:00,41.76676,1.5436,1.0696
9/24/1999 12:00,46.90708,1.53952,1.08266
9/25/1999 12:00,49.39357,1.52661,1.09108
9/26/1999 12:00,52.72782,1.51698,1.09273
9/27/1999 12:00,53.76167,1.50386,1.06319
9/28/1999 12:00,54.2112,1.48299,1.01549
9/29/1999 12:00,52.02964,1.47129,0.96941
9/30/1999 12:00,50.35691,1.46904,0.93206
10/1/1999 12:00,50.24171,1.47223,0.93535
10/2/1999 12:00,51.13613,1.47831,0.98594
10/3/1999 12:00,53.79833,1.47789,1.02582
10/4/1999 12:00,55.64707,1.46763,1.02089
10/5/1999 12:00,60.11589,1.45851,1.01766
10/6/1999 12:00,64.20299,1.43683,0.98513
10/7/1999 12:00,68.74228,1.42689,0.96529
10/8/1999 12:00,76.62164,1.4394,1.01175
10/9/1999 12:00,84.1743,1.45998,1.09418
10/10/1999 12:00,87.73477,1.46939,1.15719
10/11/1999 12:00,88.7831,1.47187,1.18987
10/12/1999 12:00,89.71333,1.47435,1.20048
10/13/1999 12:00,88.45143,1.47696,1.18706
10/14/1999 12:00,85.76855,1.47848,1.15263
10/15/1999 12:00,82.48016,1.48525,1.10872
10/16/1999 12:00,72.68706,1.49994,1.06388
10/17/1999 12:00,61.80362,1.50404,1.01414
10/18/1999 12:00,54.5955,1.49616,0.96632
10/19/1999 12:00,45.83598,1.50532,0.93939
10/20/1999 12:00,39.70129,1.52103,0.91651
10/21/1999 12:00,35.58077,1.52417,0.87584
10/22/1999 12:00,31.71678,1.52367,0.835
10/23/1999 12:00,27.31767,1.53981,0.8135
10/24/1999 12:00,31.34355,1.51322,0.75597
10/25/1999 12:00,28.95941,1.53364,0.76117
10/26/1999 12:00,26.75934,1.58194,0.80403
10/27/1999 12:00,22.96347,1.58015,0.80976
10/28/1999 12:00,21.76702,1.56952,0.80952
10/29/1999 12:00,19.43353,1.56479,0.80633
10/30/1999 12:00,17.23153,1.55473,0.80068
10/31/1999 12:00,17.36134,1.52948,0.7856
11/1/1999 12:00,14.33297,1.53175,0.78921
11/2/1999 12:00,12.92175,1.53978,0.79415
11/3/1999 12:00,21.6001,1.4695,0.7396
11/4/1999 12:00,18.85186,1.50744,0.76591
11/5/1999 12:00,19.63738,1.54361,0.84659
11/6/1999 12:00,20.63034,1.54191,0.94208
11/7/1999 12:00,22.46649,1.52544,0.99851
11/8/1999 12:00,21.81508,1.52551,1.01544
11/9/1999 12:00,23.304,1.51963,0.98631
11/10/1999 12:00,22.15622,1.5198,0.93837
11/11/1999 12:00,21.19709,1.5113,0.87947
11/12/1999 12:00,20.14965,1.49937,0.82875
11/13/1999 12:00,16.42147,1.51324,0.81552
11/14/1999 12:00,13.91515,1.53114,0.81737
11/15/1999 12:00,12.14204,1.5435,0.81967
11/16/1999 12:00,11.26004,1.55004,0.82112
11/17/1999 12:00,12.80542,1.52804,0.80295
11/18/1999 12:00,9.97588,1.53775,0.81788
11/19/1999 12:00,7.95133,1.54962,0.8378
11/20/1999 12:00,8.25773,1.54105,0.84348
11/21/1999 12:00,8.6228,1.52668,0.84214
11/22/1999 12:00,9.15595,1.51441,0.83664
11/23/1999 12:00,8.59627,1.51486,0.83946
11/24/1999 12:00,7.74108,1.52349,0.84857
11/25/1999 12:00,6.80926,1.53756,0.85922
11/26/1999 12:00,7.1582,1.53793,0.85995
11/27/1999 12:00,9.76985,1.5108,0.83391
11/28/1999 12:00,10.07342,1.49535,0.8146
11/29/1999 12:00,7.08239,1.52422,0.83721
11/30/1999 12:00,9.91207,1.51983,0.82896
12/1/1999 12:00,8.29896,1.52412,0.8314
12/2/1999 12:00,5.96192,1.55496,0.85593
12/3/1999 12:00,4.68279,1.57542,0.87064
12/4/1999 12:00,6.29128,1.57036,0.86798
12/5/1999 12:00,5.07527,1.57412,0.86963
12/6/1999 12:00,5.4406,1.57959,0.87248
