time,TN
1999-01-01,0.8486899999999999
1999-01-02,1.59982
1999-01-03,1.45062
1999-01-04,1.46408
1999-01-05,1.49322
1999-01-06,4.2
1999-01-07,1.55235
1999-01-08,1.58646
1999-01-09,1.62092
1999-01-10,1.65723
1999-01-11,1.69883
1999-01-12,1.74276
1999-01-13,1.7743613654950192
1999-01-14,1.777375365583211
1999-01-15,1.7876369729973927
1999-01-16,1.813627814917914
1999-01-17,1.8581059800551545
1999-01-18,1.8906152149249398
1999-01-19,1.9004579868701275
1999-01-20,1.9283668859477128
1999-01-21,1.9482865247657146
1999-01-22,1.96769243154377
1999-01-23,1.9759045994315223
1999-01-24,1.9741104627889572
1999-01-25,1.9692384429349075
1999-01-26,1.9555969540027525
1999-01-27,1.9381203792830328
1999-01-28,1.9441917655298728
1999-01-29,1.97932315807131
1999-01-30,2.0027146964540528
1999-01-31,1.9832136779480303
1999-02-01,1.9818564217954207
1999-02-02,1.992099759177002
1999-02-03,2.0037093191153863
1999-02-04,1.9992296232067046
1999-02-05,1.9701401616057053
1999-02-06,1.9451161515341768
1999-02-07,1.9340635752851039
1999-02-08,1.9384795405417434
1999-02-09,1.9269132403451268
1999-02-10,1.9058633563029197
1999-02-11,1.887907452256191
1999-02-12,1.8805452163212417
1999-02-13,1.8852716454216347
1999-02-14,1.888087676249876
1999-02-15,1.9092428542526643
1999-02-16,1.9059933409745529
1999-02-17,1.8971401134250443
1999-02-18,1.899259501265257
1999-02-19,1.9054706753064907
1999-02-20,1.905939142437066
1999-02-21,1.9068699425312818
1999-02-22,1.9084662770991265
1999-02-23,1.9364011829489287
1999-02-24,1.942638504222617
1999-02-25,1.9389972297258782
1999-02-26,1.9201229175383918
1999-02-27,1.9014911745681309
1999-02-28,1.897639263774996
1999-03-01,1.8804177077710216
1999-03-02,1.8715291863030852
1999-03-03,1.8667852633848985
1999-03-04,1.8415163458126096
1999-03-05,1.8392252484578748
1999-03-06,1.8605230613733452
1999-03-07,1.898922812842826
1999-03-08,1.9249335616217316
1999-03-09,1.9367243766095121
1999-03-10,1.9305565634543762
1999-03-11,1.925963043694368
1999-03-12,1.9285613339559355
1999-03-13,1.9227245013140792
1999-03-14,1.9361556183852082
1999-03-15,1.938789046609589
1999-03-16,1.9156356861700177
1999-03-17,1.878100412897698
1999-03-18,1.844195203882706
1999-03-19,1.8291226838939154
1999-03-20,1.8431157127610753
1999-03-21,1.8476223277826722
1999-03-22,1.8451458340404692
1999-03-23,1.8556203506880384
1999-03-24,1.8504533785213786
1999-03-25,1.8271677467979581
1999-03-26,1.8073931282505111
1999-03-27,1.7915452222868191
1999-03-28,1.7812787435585802
1999-03-29,1.7649904868540252
1999-03-30,1.7639609306562813
1999-03-31,1.773453592388876
1999-04-01,1.7916901336111137
1999-04-02,1.7974590685901566
1999-04-03,1.8096305860355162
1999-04-04,1.8346891807098307
1999-04-05,1.8327323444348156
1999-04-06,1.819694189179387
1999-04-07,1.8171577141049027
1999-04-08,1.8331115027708336
1999-04-09,1.854091399241152
1999-04-10,1.8748330829348607
1999-04-11,1.8861215268448042
1999-04-12,1.894453601983894
1999-04-13,1.8887546010904404
1999-04-14,1.8979239775329482
1999-04-15,1.9107513409506338
1999-04-16,1.897799242726335
1999-04-17,1.8680561656930086
1999-04-18,1.834911333498575
1999-04-19,1.823586713004075
1999-04-20,1.8344922635042893
1999-04-21,1.84927525404007
1999-04-22,1.8646131488327131
1999-04-23,1.8775432602515059
1999-04-24,1.8729638572814875
1999-04-25,1.8588682383720607
1999-04-26,1.8442865370694959
1999-04-27,1.812234458466068
1999-04-28,1.7962100597387067
1999-04-29,1.8323212386085903
1999-04-30,1.8669093420140137
1999-05-01,1.9021485771384687
1999-05-02,1.922835503020367
1999-05-03,3.156347186633493
1999-05-04,3.832562664169431
1999-05-05,3.4822834079769907
1999-05-06,3.088072897459788
1999-05-07,2.726264333234405
1999-05-08,2.4319755528253486
1999-05-09,2.224133575047334
1999-05-10,2.0992412597360524
1999-05-11,2.0382868096266233
1999-05-12,2.0034706605673382
1999-05-13,1.9734380780954779
1999-05-14,1.9535204222500728
1999-05-15,1.9539710946643625
