SimDate,Flow,TN,TP
4/17/1999 12:00,1.3936,1.92473,1.06739
4/18/1999 12:00,1.43371,1.9082,1.05685
4/19/1999 12:00,1.50568,1.90502,1.05605
4/20/1999 12:00,1.65391,1.91845,1.05554
4/21/1999 12:00,1.85837,1.91638,1.05416
4/22/1999 12:00,1.99928,1.88764,1.0558
4/23/1999 12:00,2.01946,1.86398,1.06262
4/24/1999 12:00,1.94667,1.86352,1.06975
4/25/1999 12:00,1.82778,1.87613,1.07493
4/26/1999 12:00,1.70839,1.89086,1.0773
4/27/1999 12:00,1.60523,1.90611,1.04604
4/28/1999 12:00,1.93457,2.10564,1.0139
4/29/1999 12:00,3.87691,2.49564,0.98768
4/30/1999 12:00,6.114,2.44579,0.98973
5/1/1999 12:00,7.93073,2.33708,0.98222
5/2/1999 12:00,8.84144,2.18624,0.9788
5/3/1999 12:00,8.71153,2.03136,0.98819
5/4/1999 12:00,7.92015,1.92545,0.99629
5/5/1999 12:00,6.8063,1.8744,0.99396
5/6/1999 12:00,5.52627,1.85709,0.98906
5/7/1999 12:00,4.31213,1.85429,0.97376
5/8/1999 12:00,3.51083,1.83778,0.93628
5/9/1999 12:00,3.71534,1.85279,0.97036
5/10/1999 12:00,4.50353,1.91508,0.95615
5/11/1999 12:00,4.96173,1.82036,0.95673
5/12/1999 12:00,5.14247,1.73673,0.9624
5/13/1999 12:00,5.09503,1.7034,0.9671
5/14/1999 12:00,4.78576,1.70578,0.97214
5/15/1999 12:00,4.39475,1.72772,0.97926
5/16/1999 12:00,4.24,1.75169,0.99158
5/17/1999 12:00,4.4109,1.75273,1.00529
5/18/1999 12:00,4.62119,1.72392,1.01204
5/19/1999 12:00,4.58186,1.70626,1.01661
5/20/1999 12:00,4.20402,1.71685,1.00433
5/21/1999 12:00,3.75632,1.73497,0.95744
5/22/1999 12:00,3.70376,1.75054,0.92004
5/23/1999 12:00,3.72795,1.76356,0.92789
5/24/1999 12:00,3.68574,1.77494,0.95465
5/25/1999 12:00,3.74913,1.78065,0.98408
5/26/1999 12:00,4.24614,1.80144,1.00904
5/27/1999 12:00,5.18914,1.87499,1.02619
5/28/1999 12:00,6.15787,1.93089,0.99333
5/29/1999 12:00,7.31529,1.97614,0.94048
5/30/1999 12:00,8.41255,1.97503,0.88434
5/31/1999 12:00,7.94629,1.89134,0.85007
6/1/1999 12:00,6.78394,1.86026,0.84308
6/2/1999 12:00,5.64501,1.84471,0.85608
6/3/1999 12:00,4.73189,1.82628,0.87001
6/4/1999 12:00,4.12356,1.81266,0.87345
6/5/1999 12:00,3.72906,1.80064,0.87506
6/6/1999 12:00,3.54806,1.80455,0.88216
6/7/1999 12:00,3.5577,1.837,0.9027
6/8/1999 12:00,3.76018,1.8497,0.92136
6/9/1999 12:00,4.08267,1.82579,0.93173
6/10/1999 12:00,4.32163,1.79209,0.96395
6/11/1999 12:00,4.72902,1.77647,1.05842
6/12/1999 12:00,5.46446,1.74352,1.123
6/13/1999 12:00,6.66883,1.91664,1.0881
6/14/1999 12:00,8.05977,2.30464,1.0213
6/15/1999 12:00,9.01875,2.33362,0.99892
6/16/1999 12:00,12.81698,2.67935,1.09723
6/17/1999 12:00,20.91827,3.02847,1.14649
6/18/1999 12:00,30.77092,2.94807,1.13356
6/19/1999 12:00,35.17586,2.61792,1.15897
6/20/1999 12:00,38.98985,2.32096,1.17417
6/21/1999 12:00,45.14662,2.10155,1.1515
6/22/1999 12:00,45.58283,1.96847,1.11467
6/23/1999 12:00,45.56123,1.89617,1.08079
6/24/1999 12:00,45.78503,1.8566,1.04891
6/25/1999 12:00,43.49939,1.83707,1.06536
6/26/1999 12:00,43.37622,1.77603,1.08474
6/27/1999 12:00,45.88631,1.68628,1.08636
6/28/1999 12:00,47.51453,1.65216,1.12301
6/29/1999 12:00,49.4399,1.64627,1.19858
6/30/1999 12:00,54.17219,1.63346,1.24828
7/1/1999 12:00,60.73304,1.65815,1.22398
7/2/1999 12:00,65.81989,1.6786,1.16034
7/3/1999 12:00,66.05702,1.67545,1.09603
7/4/1999 12:00,62.68869,1.65764,1.04043
7/5/1999 12:00,57.95476,1.64563,0.99767
7/6/1999 12:00,53.28909,1.64295,0.97424
7/7/1999 12:00,49.31801,1.64645,0.96817
7/8/1999 12:00,46.20085,1.64444,0.95895
7/9/1999 12:00,43.14789,1.63868,0.93869
7/10/1999 12:00,40.12923,1.63918,0.90876
7/11/1999 12:00,37.33135,1.64986,0.87114
7/12/1999 12:00,35.52122,1.67545,0.83526
7/13/1999 12:00,30.92001,1.71173,0.8091
7/14/1999 12:00,25.9137,1.74475,0.78931
7/15/1999 12:00,22.95698,1.76266,0.77781
7/16/1999 12:00,20.91275,1.78021,0.7739
7/17/1999 12:00,19.52995,1.80675,0.78528
7/18/1999 12:00,19.63726,1.87715,0.82315
7/19/1999 12:00,20.3458,1.95972,0.79751
7/20/1999 12:00,19.38997,1.92328,0.78129
7/21/1999 12:00,18.01644,1.90207,0.7796
7/22/1999 12:00,16.83203,1.90336,0.78181
7/23/1999 12:00,15.76899,1.90864,0.78487
7/24/1999 12:00,15.19115,1.91162,0.78784
7/25/1999 12:00,15.30244,1.89958,0.79327
7/26/1999 12:00,16.0047,1.87174,0.79578
7/27/1999 12:00,16.7526,1.83543,0.79321
7/28/1999 12:00,17.07943,1.80258,0.78904
7/29/1999 12:00,16.81806,1.78784,0.78434
7/30/1999 12:00,16.27497,1.78871,0.78078
7/31/1999 12:00,15.52023,1.79706,0.77962
8/1/1999 12:00,14.72663,1.80885,0.78342
8/2/1999 12:00,13.8802,1.82468,0.78965
8/3/1999 12:00,13.17102,1.84161,0.79344
8/4/1999 12:00,12.87556,1.85326,0.7964
8/5/1999 12:00,13.08225,1.85223,0.80282
8/6/1999 12:00,13.90274,1.81656,0.81602
8/7/1999 12:00,15.0622,1.73702,0.82747
