time,discharge
1999-01-01,6.626000000000001
1999-01-02,6.540999999999993
1999-01-03,6.994
1999-01-04,9.882999999999996
1999-01-05,11.78
1999-01-06,10.844999999999995
1999-01-07,10.421
1999-01-08,10.674999999999997
1999-01-09,9.768999999999998
1999-01-10,8.664999999999996
1999-01-11,8.296999999999997
1999-01-12,8.098999999999997
1999-01-13,43.78323910237839
1999-01-14,32.94744748341414
1999-01-15,21.381514323571594
1999-01-16,14.0703453557562
1999-01-17,11.861397617734239
1999-01-18,11.686923601193595
1999-01-19,11.119656842292343
1999-01-20,10.934776471683723
1999-01-21,10.518070244004981
1999-01-22,10.216162915796005
1999-01-23,9.589609297947685
1999-01-24,11.220677957304087
1999-01-25,17.878634044479092
1999-01-26,25.178341081926263
1999-01-27,29.189198710594013
1999-01-28,23.50884313081862
1999-01-29,21.04895350852812
1999-01-30,20.35881851960151
1999-01-31,19.832776602277193
1999-02-01,18.186577712209107
1999-02-02,16.95999387269544
1999-02-03,18.559553337880146
1999-02-04,16.859879603658307
1999-02-05,14.153523653180743
1999-02-06,16.73346911447247
1999-02-07,17.90672083079462
1999-02-08,17.385930480920912
1999-02-09,17.744411621826508
1999-02-10,15.518310553816782
1999-02-11,13.716716879954376
1999-02-12,13.747346534341634
1999-02-13,16.5567709263561
1999-02-14,19.61431462681218
1999-02-15,20.701361734344143
1999-02-16,17.631742424039444
1999-02-17,14.931442308958493
1999-02-18,16.972362019586818
1999-02-19,15.812584036603175
1999-02-20,14.372368609855586
1999-02-21,12.52856448956
1999-02-22,9.718580363295608
1999-02-23,9.577995962596201
1999-02-24,10.619560071195604
1999-02-25,12.662935284616085
1999-02-26,12.39875874398069
1999-02-27,10.259595919044713
1999-02-28,7.807894489152563
1999-03-01,9.411250388769595
1999-03-02,10.85481534041628
1999-03-03,12.573046137198421
1999-03-04,13.196807307127232
1999-03-05,10.417054765751779
1999-03-06,8.296087617672281
1999-03-07,11.666188628812156
1999-03-08,10.115564468843402
1999-03-09,9.027964325115242
1999-03-10,12.570822587830003
1999-03-11,9.547322451464623
1999-03-12,8.913913992252407
1999-03-13,8.945488068586165
1999-03-14,11.411266377452897
1999-03-15,10.85288489204562
1999-03-16,8.9581528681387
1999-03-17,9.062480679712795
1999-03-18,9.892505013646062
1999-03-19,12.814110861696335
1999-03-20,12.626355140714319
1999-03-21,8.651034010895184
1999-03-22,8.435422168030954
1999-03-23,8.119957506990826
1999-03-24,10.684052839663948
1999-03-25,10.757322810945041
1999-03-26,9.884909413399953
1999-03-27,10.826054630471482
1999-03-28,11.537654560778094
1999-03-29,11.526052518518558
1999-03-30,12.225871334846094
1999-03-31,9.54291371937337
1999-04-01,10.412110192652943
1999-04-02,11.476853026535274
1999-04-03,10.19617621764095
1999-04-04,10.850351854717747
1999-04-05,10.008323137529295
1999-04-06,8.26770558207831
1999-04-07,5.328989921451871
1999-04-08,7.490912930372726
1999-04-09,9.164012730257756
1999-04-10,10.555672315887549
1999-04-11,8.088017416362913
1999-04-12,4.842015557471921
1999-04-13,7.210905489555316
1999-04-14,10.810083376289011
1999-04-15,10.973853465800715
1999-04-16,8.312315380422746
1999-04-17,6.999307195702087
1999-04-18,7.894141034202487
1999-04-19,8.107182529686906
1999-04-20,7.442542055172115
1999-04-21,6.917281024392551
1999-04-22,8.922679033597358
1999-04-23,11.002428643265201
1999-04-24,11.273379750032127
1999-04-25,9.911656264366218
1999-04-26,9.710847800610729
1999-04-27,10.27971517652393
1999-04-28,9.575295312554093
1999-04-29,9.186674370687548
1999-04-30,11.032344117204822
1999-05-01,12.732796417415878
1999-05-02,15.01916817234045
1999-05-03,13.430118635910473
1999-05-04,9.17425043047177
1999-05-05,9.251453818308491
1999-05-06,9.093574091998281
1999-05-07,12.196220101352974
1999-05-08,11.715908897921265
1999-05-09,10.79439705157662
1999-05-10,8.916263366572093
1999-05-11,9.833822167936901
1999-05-12,12.354168049804604
1999-05-13,11.619110593113124
1999-05-14,11.664862786162232
1999-05-15,13.17569318094706
1999-05-16,12.371494116819786
1999-05-17,9.25297937128224
1999-05-18,7.30305074134365
